"Контрагент","Итого","max"
РЕГИОН-ЭЛЕКТРО ООО,104408089.50,A+
"ПАО АК ""РУБИН"" ПАО ""АВИАЦИОННАЯ КОРПОРАЦИЯ ""РУБИН""",32360287.27,A+
БобруйскСервис АО (БЕЛАРУСЬ),31404066.01,A+
ДрогичинСтрой АО (БЕЛАРУСЬ),27044271.49,A+
БЕТАТЕХ ООО,22727437.51,A+
КобринЭнерго ТОО (БЕЛАРУСЬ),21481461.98,A+
ЙОТА-КОМ ООО,20809470.25,A+
БорисовКом ТОО (БЕЛАРУСЬ),20791630.30,A+
УранИндустрия ООО (АЗЕРБАЙДЖАН),17337153.84,A+
ПружаныТрейд ООО (БЕЛАРУСЬ),16403856.43,A+
"ООО ""МЕГАПРОМ-УРАЛ""",16376596.79,A+
ОМИКРОН-ПРОД ООО,16038172.54,A+
ЕврейскаяАОИндустрия ООО (БЕЛОРУСЬ),15467071.02,A+
ВоложинТрейд ООО (БЕЛАРУСЬ),14478906.35,A+
РОИНВЕСТ ООО,14358381.74,A+
УралЭкспорт ООО,13389106.17,A+
ХойникиТрейд АО (БЕЛАРУСЬ),10907889.49,A+
ФИКОМП ООО,10502228.92,A+
ПСИТРАНС ООО,10277453.85,A+
ЭпсилонМаш ОАО,9872285.45,A+
СИГМА-ЭЛЕКТРО ООО,9358280.39,A+
СИГМА-ПЛЮС ООО,8941458.77,A+
ПСИ-СТРОЙ ООО,8775692.88,A+
ЭПСИЛОН-СТРОЙ ООО,8310083.77,A+
ИПСИЛОНПРОД ООО,8208024.43,A+
ТолочинЛогистика АО (БЕЛАРУСЬ),8042244.94,A+
СтавропольИндустрия ТОО (АРМЕНИЯ),8039373.06,A+
КурскФинанс ООО,7613759.96,A+
ИПСИЛОНТОРГ ООО,7208458.17,A+
ОдессаПроект АО (УКРАИНА),7160076.88,A+
КАППА-ЭНЕРГО ООО,6852929.01,A+
БраславИндустрия ООО (БЕЛАРУСЬ),6814303.39,A+
ТЕТА-ЭЛЕКТРО ООО,6699620.09,A+
"АО ""АВИАБОР""",6699514.91,A+
ЛюбаньПроект АО (БЕЛАРУСЬ),6533858.17,A+
НесвижЭкспорт ТОО (БЕЛАРУСЬ),6481168.87,A+
ДЕЛЬТАСЕРВИС ООО,6451255.63,A+
КраснопольеЛогистика АО (БЕЛАРУСЬ),6414260.97,A+
КостанайЛогистика ООО (БЕЛОРУСЬ),6381825.88,A+
ЛАМБДА-ЭНЕРГО ООО,6187851.56,A+
"ООО ""ТПФ ""МашТрейд"", г. Череповец",6180044.33,A+
КызылордаИнвест АО (КАЗАХСТАН),6160969.90,A+
ПИТРАНС ООО,6160921.46,A+
"ООО ""СР-Дортех""",6070479.64,A+
"ОАО ""АРХАНГЕЛЬСКОЕ АВИАПРЕДПРИЯТИЕ""",5842781.15,A+
КостромаКонсалт АО (ГРУЗИЯ),5771573.09,A+
ЛАМБДА-КОМ ООО,5608598.52,A+
НесвижЭнерго ООО (БЕЛАРУСЬ),5548122.07,A+
ЗЕТАСТРОЙ ООО,5535684.16,A+
ЕльскПроект АО (БЕЛАРУСЬ),5494274.38,A+
ТАУЛОГИСТИК ООО,5304159.94,A+
ОМЕГА-ЭНЕРГО ООО,5298135.50,A+
ОМИКРОН-КОМ ООО,5178091.69,A+
"АО ""ВАО АГРОХИМЭКСПОРТ""",5172059.62,A+
"АО ""АТЗ""",4729950.69,A
АстраханьИндустрия ООО (БЕЛОРУСЬ),4720587.29,A
ИвановоФарма ООО (БЕЛАРУСЬ),4709971.97,A
ТАУСИСТЕМС ООО,4669618.01,A
ЮпитерСервис АО,4611871.21,A
ЖодиноФинанс ТОО (АРМЕНИЯ),4586737.15,A
ЧаусыИндустрия АО (МОЛДОВА),4581784.99,A
МстиславльФарма ООО (УЗБЕКИСТАН),4569797.95,A
ДЕЛЬТА-МАШ ООО,4491501.65,A
ГАММА-ТОРГ ООО,4480131.21,A
ПИ-КОМ ООО,4346102.48,A
ИПСИЛОНКОМ ООО,4344053.90,A
"ООО КБ ""АДМИРАЛТЕЙСКИЙ""",4278943.61,A
ДубровноИндустрия ТОО (АРМЕНИЯ),4270409.94,A
ФИ-ТОРГ ООО,4269898.13,A
ГлубокоеЭкспорт АО (УКРАИНА),4229645.95,A
ХИМАШ ООО,4206133.29,A
РО-СТРОЙ ООО,4053677.80,A
КлимовичиСервис АО (БЕЛАРУСЬ),4030542.55,A
ЭПСИЛОНПРОД ООО,3859979.72,A
СИГМАПЛЮС ООО,3855002.13,A
КировскКонсалт ООО (АЗЕРБАЙДЖАН),3854953.18,A
ПИПРОМ ООО,3851409.28,A
КричевИндустрия АО (БЕЛАРУСЬ),3727079.83,A
КАППА-ТОРГ ООО,3694013.57,A
ЭПСИЛОН-ТОРГ ООО,3587539.51,A
ФИ-ПРОМ ООО,3570900.64,A
МстиславльИнновации ООО (АЗЕРБАЙДЖАН),3494372.69,A
ОМЕГА-КОМ ООО,3482215.45,A
КарелияЭнерго ТОО (ТУРКМЕНИСТАН),3471793.21,A
СИГМАКОМ ООО,3444023.05,A
КемеровоМед ООО,3396333.78,A
АЛЬФАПРОД ООО,3388844.37,A
ДЕЛЬТА-ПЛЮС ООО,3370920.64,A
КостюковичиИндустрия ТОО (АРМЕНИЯ),3361341.96,A
ЗЕТА-ЭЛЕКТРО ООО,3351698.76,A
ДубровноТрейд ООО (БЕЛАРУСЬ),3338145.01,A
ОдессаИндустрия ООО,3239000.57,A
ТЭТАЭНЕРГО ООО,3207544.59,A
ОЛИМП-ПРОМ ООО,3133104.66,A
ЗЕТАМАШ ООО,3131637.24,A
ЛепельФарма АО (БЕЛАРУСЬ),3106444.87,A
РЕКА-СТРОЙ ООО,3072331.81,A
ОршаКонсалт АО (ГРУЗИЯ),3020477.88,A
ЛяховичиФинанс АО (МОЛДОВА),2982660.28,A
"КСИ-ТОРГ ООО, Пермь",2928188.44,A
ТуркестанФарма ООО (УЗБЕКИСТАН),2918554.13,A
"ОАО ""ДАЛ""",2915558.62,A
ВоронежСтрой ООО,2883870.48,A
МЮ-СТРОЙ ООО,2865665.67,A
СИГМА-СТРОЙ ООО,2844651.20,A
ТЭТАТРАНС ООО,2836748.35,A
КопыльТрейд АО (БЕЛАРУСЬ),2792989.01,A
ОМЕГАИНВЕСТ ООО,2783962.58,A
ДЕЛЬТА-ИНВЕСТ ООО,2774330.89,A
ЭТАФИНАНС ООО,2770021.54,A
ХИ-ТОРГ ООО,2767622.01,A
ДрогичинЭкспорт ООО (УЗБЕКИСТАН),2751324.68,A
ПСИФИНАНС ООО,2687026.67,A
ЗЕТАИНВЕСТ ООО,2664614.47,A
ЭПСИЛОНКОМП ООО,2664194.71,A
ОсиповичиПроект АО (БЕЛАРУСЬ),2660494.39,A
