"Контрагент","Итого","max"
ФИ-МАШ ООО,23494300.00,A+
МЮ-ЭНЕРГО ООО,22617399.98,A+
КалинковичиЛогистика АО (БЕЛАРУСЬ),22142211.60,A+
ЭПСИЛОНПРОД ООО,20624348.40,A+
ИКАР ООО,19661600.00,A+
ДИАМАНТ ООО,16481272.00,A+
ЛюбаньТрейд АО (БЕЛАРУСЬ),15716790.00,A+
КВАДРАТ ООО,13590000.00,A+
ЛАМБДА-ТОРГ ООО,12570000.00,A+
ПОИСК ООО,12141040.00,A+
ВОСХОД ООО,11866600.00,A+
МАРС ООО,10616868.00,A+
ЙОТАТОРГ ООО,10595000.08,A+
ХИ-ПРОМ ООО,10563500.00,A+
ОАЗИС ООО,10380000.00,A+
ТЭТАТРАНС ООО,10139750.00,A+
БЕСТ ООО,10128000.00,A+
КлимовичиСервис ООО (БЕЛОРУСЬ),9979432.00,A+
АПГРЕЙД ООО,9130000.00,A+
КАСКАД ООО,8977300.00,A+
ФИСТРОЙ ООО,8144800.00,A+
ПЛЮС ООО,7465480.00,A+
КОМЕТА ООО,6790420.00,A+
ЗАЩИТА-ТОРГ ООО,6760000.00,A+
ПРОЛЕТАРИЙ ООО,6628800.00,A+
ПАРК ООО,6289228.00,A+
БИЗНЕС-КОНСАЛТ ООО,6237000.00,A+
"ПАО АК ""РУБИН"" ПАО ""АВИАЦИОННАЯ КОРПОРАЦИЯ ""РУБИН""",6040720.00,A+
КАИР ООО,5297724.00,A+
ОРИГИНАЛ ООО,5010000.00,A+
ОМИКРОНСИСТЕМС ООО,4949300.00,A
ЭТАТЕХ ООО,4826500.00,A
ПЕРСЕЙ ООО,4800000.00,A
РО-ЭЛЕКТРО ООО,4623309.00,A
КРОН ООО,4572360.00,A
ДЕЛЬФИН ООО,4546440.00,A
ПОЛЮС ООО,4276800.00,A
РАКУРС ООО,4176190.00,A
ЭТАФИНАНС ООО,4167500.00,A
ИПСИЛОНКОМ ООО,4120680.00,A
КОНТИНЕНТ ООО,4100000.00,A
ХИ-КОМ ООО,4070752.00,A
ОРИОН-СЕРВИС ООО,4017600.00,A
ГАЛАКТИКА ООО,3949000.00,A
ФИКОМП ООО,3895808.00,A
РО-СТРОЙ ООО,3827000.00,A
ВИКТОРИЯ ООО,3795200.00,A
ЭКО-ДОМ ООО,3745800.00,A
ЭПСИЛОН-КОМ ООО,3740000.00,A
ОЛИМП ООО,3604900.00,A
