"Контрагент","Итого","max"
ДрогичинСтрой АО (БЕЛАРУСЬ),22260319.09,A+
БерезаСтрой АО (БЕЛАРУСЬ),17696901.96,A+
ПружаныФарма ООО (БЕЛАРУСЬ),15676808.36,A+
КостюковичиСтрой АО (БЕЛАРУСЬ),10301442.38,A+
КобринЭнерго ТОО (БЕЛАРУСЬ),7836655.01,A+
ИвацевичиИндустрия АО (БЕЛАРУСЬ),6037568.61,A+
БерезаЭнерго ТОО (БЕЛАРУСЬ),5758701.06,A+
"КАО ""АЗОТ""",5557457.25,A+
ТитанСервис АО (МОЛДОВА),5445960.99,A+
ЛюбаньЭкспорт ТОО (БЕЛАРУСЬ),5277774.76,A+
ИвановоФарма ООО (БЕЛАРУСЬ),5159124.92,A+
НюТрейд АО,5073182.44,A+
ЛюбаньИндустрия ООО (БЕЛАРУСЬ),4474605.74,A
БыховИндустрия АО (БЕЛАРУСЬ),4425689.95,A
АрктикаТех ТОО (КИРГИЗИЯ),4083880.99,A
КраснопольеТрейд ТОО (КАЗАХСТАН),4036573.25,A
БорисовКом ТОО (БЕЛАРУСЬ),4018605.56,A
СветлогорскФарма АО (БЕЛАРУСЬ),3949787.54,A
НептунМед ООО (УЗБЕКИСТАН),3399435.53,A
СТРОЙРЕСУРС ООО,3286000.00,A
ЧашникиСтрой ТОО (БЕЛАРУСЬ),3222757.48,A
ТетаСервис ТОО (ТУРКМЕНИСТАН),2949493.78,A
БрестМед ООО (УЗБЕКИСТАН),2919766.89,A
ОдессаПроект АО (УКРАИНА),2758652.18,A
ЖодиноСтрой ТОО (БЕЛАРУСЬ),2682092.95,A
ЙотаЛогистика АО,2614460.79,A
"ПАО АК ""РУБИН"" ПАО ""АВИАЦИОННАЯ КОРПОРАЦИЯ ""РУБИН""",2585311.30,A
"ООО ""Партнер""",2565061.52,A
СлавгородФарма ООО (УЗБЕКИСТАН),2545561.80,A
ИвацевичиМед ООО (БЕЛАРУСЬ),2529367.70,A
ЖлобинЭкспорт ООО (УЗБЕКИСТАН),2399201.18,A
ЧебоксарыКонсалт ООО (АЗЕРБАЙДЖАН),2285875.39,A
БелгородТранс ТОО (КАЗАХСТАН),2272936.59,A
КостюковичиЛогистика ООО (БЕЛАРУСЬ),2206780.60,A
ВоронежСтрой ООО,2137287.86,A
ЛяховичиЭнерго ТОО (БЕЛАРУСЬ),1982483.39,A
КурскФинанс ООО,1959336.75,A
КричевТрейд ООО (БЕЛАРУСЬ),1958372.22,A
РоссоныТрейд АО (БЕЛАРУСЬ),1922265.50,A
"АО ""АВИАКОМПАНИЯ ""СИБИРЬ""",1895306.32,A
АктобеКом ООО (ТАДЖИКИСТАН),1875373.11,A
НовосибирскИнновации ООО,1866877.13,A
ИпсилонТранс ТОО (ТУРКМЕНИСТАН),1782664.66,A
ТолочинСервис АО (МОЛДОВА),1779551.28,A
ОбьПроект ООО,1724331.27,A
КалинковичиЛогистика АО (БЕЛАРУСЬ),1605169.90,A
ЕврейскаяАОИндустрия ООО (БЕЛОРУСЬ),1595736.94,A
КопыльСервис ООО (БЕЛОРУСЬ),1574482.94,A
"КСИ-ТОРГ ООО, Пермь",1561171.88,A
БобруйскКом АО (БЕЛАРУСЬ),1498395.10,A
МикашевичиПроект ООО (УЗБЕКИСТАН),1483131.10,A
УранИндустрия ООО,1472323.86,A
ОМИКРОНСИСТЕМС ООО,1451988.98,A
АктауСервис ТОО (АРМЕНИЯ),1424132.05,A
ОмикронМаш АО (ГРУЗИЯ),1409625.72,A
ДубровноМед ООО (БЕЛАРУСЬ),1363359.77,A
ИвановоЭкспорт АО (БЕЛАРУСЬ),1350062.89,A
ШтормФарма АО (РОССИЯ),1345543.64,A
"ООО ""СТРОЙ ИНВЕСТ ПРОЕКТ""",1325979.58,A
