"Отдел","Контрагент","Итого","cnt_first","cnt_second"
Отдел труб и штоков,ГЛОБУС-ТРАНС ООО,26164.29,1,0
Трубка и РВД,КызылордаИнвест АО (КАЗАХСТАН),86995.30,3,2
Трубка и РВД,ЖитковичиТех ООО (ТАДЖИКИСТАН),209459.95,1,2
Трубка и РВД,"ООО ""Газпром добыча Астрахань""",46897.64,0,1
Отдел труб и штоков,КамчаткаТрейд ООО (АЗЕРБАЙДЖАН),141340.65,0,1
Отдел труб и штоков,КировскИндустрия ТОО (АРМЕНИЯ),9999.04,1,1
Трубка и РВД,"ОАО ""АРХМОРТОРГПОРТ""",728828.70,1,2
Трубка и РВД,ДзержинскТех ООО (БЕЛАРУСЬ),12245.13,0,2
Отдел труб и штоков,ПолоцкЭнерго АО (РОССИЯ),1075070.11,6,3
Трубка и РВД,СтолбцыТех АО (РОССИЯ),103598.23,6,0
Трубка и РВД,ЖодиноИнвест АО (БЕЛАРУСЬ),232789.79,4,0
Трубка и РВД,КалинковичиИнвест АО (БЕЛАРУСЬ),15825.60,0,1
Трубка и РВД,БарановичиТрейд ТОО (КАЗАХСТАН),110149.58,1,2
Трубка и РВД,ЧашникиЛогистика АО (БЕЛАРУСЬ),770904.31,2,1
Трубка и РВД,"АО ""АРХАНГЕЛЬСКИЙ ЦБК"", АЦБК",89929.40,3,1
Трубка и РВД,НесвижЭнерго ООО (БЕЛАРУСЬ),101304.00,2,1
Отдел труб и штоков,СаратовТех АО,438568.82,1,1
Трубка и РВД,ВерхнедвинскИндустрия ООО (БЕЛАРУСЬ),268560.94,2,3
Трубка и РВД,ФанипольПроект АО (БЕЛАРУСЬ),9504.00,1,0
Отдел труб и штоков,МстиславльПроект АО (УКРАИНА),42401.99,0,1
Отдел труб и штоков,"ПСИ-ИНЖ ООО, Ярославль",347006.44,1,2
Отдел труб и штоков,ШкловИндустрия ТОО (АРМЕНИЯ),8417.00,1,0
Отдел труб и штоков,"ООО ""Атлантис""",1270177.29,6,3
Трубка и РВД,ЧаусыКом ТОО (БЕЛАРУСЬ),30877.93,2,0
Трубка и РВД,УшачиСервис ООО (БЕЛАРУСЬ),36845.89,1,0
Трубка и РВД,"АО ""АПАТИТ""",279702.96,2,0
Трубка и РВД,ЕльскЭкспорт ТОО (БЕЛАРУСЬ),86656.63,0,2
Трубка и РВД,ГлускМед ТОО (БЕЛАРУСЬ),252861.54,4,1
Трубка и РВД,УдмуртияИндустрия ООО,28080.00,1,0
Трубка и РВД,ТамбовИндустрия ООО,301879.25,3,3
Отдел труб и штоков,ИПСИЛОН-ИНЖ ООО,2110376.88,6,5
Трубка и РВД,ПолоцкПроект АО (БЕЛАРУСЬ),3561.19,0,1
Отдел труб и штоков,ТуровФарма АО (УКРАИНА),19842.26,1,0
Отдел труб и штоков,ЭПСИЛОН-ЭЛЕКТРО ООО,23486.84,1,1
Трубка и РВД,"БФ ПН ""ВЕРА И НАДЕЖДА НА ЗДОРОВОЕ БУДУЩЕЕ""",2410.38,0,1
Отдел труб и штоков,ЧувашияТех ООО,519267.11,3,3
Трубка и РВД,ЖитковичиКом ТОО (ТУРКМЕНИСТАН),502263.67,1,0
Отдел труб и штоков,ДОМ-КОМФОРТ ООО,831557.96,2,4
Трубка и РВД,МстиславльЭнерго ТОО (БЕЛАРУСЬ),340880.40,0,1
Отдел труб и штоков,АЛЬФА-43 ООО,210640.86,2,0
Отдел труб и штоков,ЭПСИЛОН-ТОРГ ООО,3587539.51,6,4
Трубка и РВД,МоскваИнновации АО,4746.53,1,0
Трубка и РВД,БыховФарма ООО (БЕЛАРУСЬ),39469.93,0,1
Отдел труб и штоков,ТАУ-ИНЖ ООО,11705.10,2,1
Трубка и РВД,ЧериковСервис АО (БЕЛАРУСЬ),119062.91,0,2
Трубка и РВД,НесвижЭкспорт ТОО (БЕЛАРУСЬ),93387.60,1,0
Трубка и РВД,ВитебскИнвест ООО (БЕЛАРУСЬ),59899.68,2,0
Отдел труб и штоков,МозырьМед АО (БЕЛАРУСЬ),440591.64,5,3
Отдел труб и штоков,ШкловТранс АО (ГРУЗИЯ),101157.06,2,2
Трубка и РВД,ХарьковСтрой АО,8365.20,0,1
Трубка и РВД,"АО ""АГД ДАЙМОНДС""",32168.64,1,0
Трубка и РВД,ОмскКонсалт АО,26509.21,0,1
Отдел труб и штоков,"РО-СТРОЙ ООО, Саратов",29451.48,2,0
Трубка и РВД,АстанаКом ТОО (КАЗАХСТАН),4259.52,0,1
Отдел труб и штоков,КраснопольеПроект ТОО (КИРГИЗИЯ),5524.98,0,1
Отдел труб и штоков,ХИ-ТОРГ ООО,2767622.01,6,4
Отдел труб и штоков,АЛЬФА-41 ООО,46204.21,3,0
Трубка и РВД,"ОАО КПП ""АВИАМОТОР""",4443.00,2,0
Трубка и РВД,"АО ""АВТОТОР""",148722.78,2,1
Трубка и РВД,ЧаусыИндустрия АО (МОЛДОВА),24840.00,1,1
Трубка и РВД,СлавгородФарма ООО (БЕЛАРУСЬ),54691.44,1,0
Отдел труб и штоков,БАЙКАЛ-ЭНЕРГО ООО,39094.87,2,0
Трубка и РВД,УшачиЭнерго ООО (БЕЛАРУСЬ),94388.94,5,0
Отдел труб и штоков,"ОМЕГА-ПРОМ ООО, Владивосток",48889.80,2,1
Отдел труб и штоков,КомаринФарма ТОО (КИРГИЗИЯ),32049.67,0,1
Трубка и РВД,РязаньТрейд ТОО (КАЗАХСТАН),16414.77,1,2
Трубка и РВД,МогилевЭкспорт АО (БЕЛАРУСЬ),61256.16,2,0
Трубка и РВД,БерезаТрейд ТОО (КАЗАХСТАН),49987.97,2,0
Трубка и РВД,СмоленскЭкспорт ООО (УЗБЕКИСТАН),112816.48,2,2
Трубка и РВД,БыховКонсалт ТОО (КАЗАХСТАН),9743.57,1,0
Трубка и РВД,КраснопольеТрейд ТОО (КАЗАХСТАН),4036573.25,3,0
Трубка и РВД,ВеткаТех АО (РОССИЯ),8114.40,0,1
Трубка и РВД,ХиХимия ООО,128389.20,3,0
Отдел труб и штоков,"ООО ""ЭЛИТСТРОЙ""",21372.84,0,1
Отдел труб и штоков,ЖЕЛЕЗНОДОРОЖНЫЙ ООО,3917.84,0,1
Трубка и РВД,СолигорскПроект АО (УКРАИНА),45619.20,0,1
Трубка и РВД,ЩукаПром ООО,213621.84,3,5
Трубка и РВД,МикашевичиЭкспорт ТОО (КИРГИЗИЯ),190746.00,1,0
Трубка и РВД,ИвацевичиКом ООО (ТАДЖИКИСТАН),1275384.59,4,3
Трубка и РВД,МагаданКом ТОО (ТУРКМЕНИСТАН),223326.14,1,1
Трубка и РВД,ТаразЛогистика ТОО (КАЗАХСТАН),1002.00,0,1
Трубка и РВД,ОрелПроект АО (УКРАИНА),240371.88,2,1
Трубка и РВД,ЮпитерСервис АО,41738.40,0,3
Трубка и РВД,"АО ""АЗОВМЕЖРАЙГАЗ""",23755.18,0,2
Отдел труб и штоков,КостюковичиФарма ООО (БЕЛАРУСЬ),8138.40,0,1
Отдел труб и штоков,СмоленскКонсалт ООО,65692.64,2,1
Трубка и РВД,"ООО ""АВИК""",97671.72,0,1
Трубка и РВД,ЖигулиТрейд ООО (БЕЛОРУСЬ),5832.00,0,1
Трубка и РВД,ЛямбдаЭкспорт ТОО (КАЗАХСТАН),142662.08,2,3
Трубка и РВД,БегемотТех АО,56246.37,0,2
Трубка и РВД,ХойникиИнновации ООО (БЕЛАРУСЬ),5796.00,0,1
Отдел труб и штоков,ПружаныФарма ООО (УЗБЕКИСТАН),49645.35,0,2
Отдел труб и штоков,АЛЬФА-35 ООО,1288766.96,5,3
Отдел труб и штоков,ПСИ-ПРОМ ООО,875309.90,4,4
Отдел труб и штоков,ЖитковичиЭнерго АО (РОССИЯ),1226.00,1,0
Отдел труб и штоков,ТИТАН-МАШ ООО,33438.00,1,0
Трубка и РВД,ЛунинецИндустрия ТОО (АРМЕНИЯ),206283.38,1,3
Отдел труб и штоков,АЛЬФА-37 ООО,527289.30,0,0
Трубка и РВД,КлимовичЭнерго ООО (БЕЛАРУСЬ),7792.54,0,1
Трубка и РВД,КопыльЭнерго ООО (БЕЛАРУСЬ),1295208.17,0,2
Трубка и РВД,КостюковичиИнвест ООО (БЕЛАРУСЬ),95199.26,2,1
Отдел труб и штоков,РЕКА-СТРОЙ ООО,3072331.81,6,5
Отдел труб и штоков,ВЕЛИКИЙ НОВГОРОД ООО,21618.38,0,1
Отдел труб и штоков,"ЭПСИЛОН-ИНВЕСТ ООО, Нижний Новгород",125923.20,4,3
Отдел труб и штоков,"ЗЕТА-ЭЛЕКТРО ООО, Казань",18317.46,1,0
Трубка и РВД,МарсЭнерго АО (РОССИЯ),10947.74,0,1
Трубка и РВД,КаппаКом ООО,877636.57,5,5
Трубка и РВД,КостромаКонсалт АО (ГРУЗИЯ),245095.44,2,2
Трубка и РВД,ОбьПроект ООО,1724331.27,4,4
Трубка и РВД,ОктябрьскийЭкспорт ТОО (БЕЛАРУСЬ),415516.09,1,0
Трубка и РВД,СлавгородЭнерго ТОО (БЕЛАРУСЬ),4089.63,1,0
Трубка и РВД,МозырьМед АО (БЕЛАРУСЬ),7467.55,1,1
Отдел труб и штоков,ИПСИЛОН-ТОРГ ООО,1115288.90,6,5
Трубка и РВД,СлуцкИнновации ТОО (КАЗАХСТАН),158889.67,2,0
Отдел труб и штоков,ПружаныТрейд ООО (БЕЛАРУСЬ),16403856.43,6,5
Трубка и РВД,ТулаФарма ТОО,6529.38,0,1
Трубка и РВД,ДонФинанс ТОО (ТУРКМЕНИСТАН),634786.23,4,2
Отдел труб и штоков,КопыльИндустрия АО (МОЛДОВА),39096.89,5,2
Трубка и РВД,ЖитковичиИнновации ООО (БЕЛАРУСЬ),32178.18,1,0
Отдел труб и штоков,ЗЕТА-СТРОЙ ООО,801842.67,5,5
Трубка и РВД,ЛунинецТех ООО (ТАДЖИКИСТАН),8532.80,2,0
